product_name,product_price,product_brand,product_link
Llave de impacto 1/2 Milwaukee 9072-59 750W,244260,Milwaukee,https://herramientas.cl/ficha/578871/llave-de-impacto-12-milwaukee-9072-59-750w
Demoledor hexagonal 30KG Max 801 1900W,699150,Max,https://herramientas.cl/ficha/594328/demoledor-hexagonal-30kg-max-801-1900w
Demoledor SDS Max Max 401 10KG 1500W,226200,Max,https://herramientas.cl/ficha/594325/demoledor-sds-max-max-401-10kg-1500w
DEMOLEDOR HEXAGONAL Max 1304 15KG 1500W,294740,Max,https://herramientas.cl/ficha/594326/demoledor-hexagonal-max-1304-15kg-1500w
Batidor de Pintura Einhell TC MX 1100-E 2 Mangos,46900,Einhell,https://herramientas.cl/ficha/587729/batidor-de-pintura-einhell-tc-mx-1100-e-2-mangos
Ensambladora Einhell TC-BJ 900 860 W,65700,Einhell,https://herramientas.cl/ficha/598109/ensambladora-einhell-tc-bj-900-860-w
Martillo Demoledor Bosch GSH 11 VC 1.700W,911060,Bosch,https://herramientas.cl/ficha/575038/martillo-demoledor-bosch-gsh-11-vc-1700w
Cortadora de concreto angular 14 Makita 4114S 355mm,642790,Makita,https://herramientas.cl/ficha/575717/cortadora-de-concreto-angular-14-makita-4114s-355mm
Pulidora Angular Skil 9071 180mm 1.300W,92530,Skil,https://herramientas.cl/ficha/600134/pulidora-angular-skil-9071-180mm-1300w
Lijadora de Banda Makita-Mt M9400G 940 W,155710,Makita-Mt,https://herramientas.cl/ficha/591970/lijadora-de-banda-makita-mt-m9400g-940-w
Taladro Percutor Makita MHP131 13mm,42990,Makita,https://herramientas.cl/ficha/576046/taladro-percutor-makita-mhp131-13mm
Taladro de Percusión Reversible Makita MHP161K 13mm,60630,Makita,https://herramientas.cl/ficha/575884/taladro-de-percusion-reversible-makita-mhp161k-13mm
Rotomartillo Einhell RT-RH 32 230 V,66900,Einhell,https://herramientas.cl/ficha/611240/rotomartillo-einhell-rt-rh-32-230-v
Taladro Percutor Einhell TC-ID 710 710 W,23500,Einhell,https://herramientas.cl/ficha/598103/taladro-percutor-einhell-tc-id-710-710-w
