product_name,product_price,product_brand,product_link
Taladro Percutor Makita MHP131 13mm,42990,Makita,https://herramientas.cl/ficha/576046/taladro-percutor-makita-mhp131-13mm
Taladro de Percusión Reversible Makita MHP161K 13mm,60630,Makita,https://herramientas.cl/ficha/575884/taladro-de-percusion-reversible-makita-mhp161k-13mm
Taladro Percutor Einhell TC-ID 710 710 W,23500,Einhell,https://herramientas.cl/ficha/598103/taladro-percutor-einhell-tc-id-710-710-w
Taladro Percutor Einhell TE-ID 500 E 550 W,27500,Einhell,https://herramientas.cl/ficha/587731/taladro-percutor-einhell-te-id-500-e-550-w
Taladro Percutor Einhell RT-ID 65/1 650 W,36700,Einhell,https://herramientas.cl/ficha/577289/taladro-percutor-einhell-rt-id-651-650-w
Kit Taladro + Accesorios Einhell TC-ID 650 E KIT 650 W,36700,Einhell,https://herramientas.cl/ficha/597109/kit-taladro-accesorios-einhell-tc-id-650-e-kit-650-w
Kit Taladro + Accesorios Einhell TC-ID 1000 E KIT 1.010 W,36700,Einhell,https://herramientas.cl/ficha/599924/kit-taladro-accesorios-einhell-tc-id-1000-e-kit-1010-w
Taladro Magnetico (vacías) MAG 50 12.9 kg,1377900,(vacías),https://herramientas.cl/ficha/587447/taladro-magnetico-vacias-mag-50-129-kg
Taladro Atornilllador Dewalt DCD777F2 20 V,209900,Dewalt,https://herramientas.cl/ficha/611722/taladro-atornilllador-dewalt-dcd777f2-20-v
Juego de Herramientas + Taladro de Impacto Total THKTHP1012 101 piezas,63590,Total,https://herramientas.cl/ficha/614410/juego-de-herramientas-taladro-de-impacto-total-thkthp1012-101-piezas
Taladro de Pedestal Total TDP133501 350 W,118930,Total,https://herramientas.cl/ficha/614607/taladro-de-pedestal-total-tdp133501-350-w
Taladro Percutor Total TG111136 1010 W,54070,Total,https://herramientas.cl/ficha/614613/taladro-percutor-total-tg111136-1010-w
