product_sku,product_name,product_price,product_link
06750003,Machete 20pulg T-460-20p 15886  Truper,4420,http://ferreteriasur.cl/machete-20pulg-t-460-20p-15886-truper.html
16220047,Einhell Esmeril Ang. 4 1/2 720w Te-ag 115 4430882,26000,http://ferreteriasur.cl/einhell-esmeril-ang-4-1-2-720w-te-ag-115-4430882.html
16220043,Einhell Sierra Caladora 400w Tc-js 60 4321117,24900,http://ferreteriasur.cl/einhell-sierra-caladora-400w-tc-js-60-4321117.html
16220042,Einhell Kit Tal 1010w C/acc. Tc-id1000 4259844,40150,http://ferreteriasur.cl/einhell-kit-tal-1010w-c-acc-tc-id1000-4259844.html
16220034,Einhell Herr Multiprop. Tc-mg 135  4419169,39990,http://ferreteriasur.cl/einhell-herr-multiprop-tc-mg-135-4419169.html
16220025,Einhell Taladro Elect. 13mm 550w Te-id550 4259610,32950,http://ferreteriasur.cl/einhell-taladro-elect-13mm-550w-te-id550-4259610.html
15780180,Sierra Copa Bahco 3830-25 25mm,7910,http://ferreteriasur.cl/sierra-copa-bahco-3830-25-25mm.html
15780147,Huincha Medir Ac.inox. 8 Mt.x 1 Bahco,13120,http://ferreteriasur.cl/huincha-medir-ac-inox-8-mt-x-1-bahco.html
11730175,Makita Sierra Circ. 7 1/4 1600w Hs7010k,123610,http://ferreteriasur.cl/makita-sierra-circ-7-1-4-1600w-hs7010k.html
11730173,Makita Disco Sierra 7 1/4 60 Dientes D-61466,8910,http://ferreteriasur.cl/makita-disco-sierra-7-1-4-60-dientes-d-61466.html
11730171,Makita Desbrozadora 2t 24.5cc Em2500u Cab/dis,140990,http://ferreteriasur.cl/makita-desbrozadora-2t-24-5cc-em2500u-cab-dis.html
11730145,Makita Broca Paleta 25mm X 150mm D-07783,2500,http://ferreteriasur.cl/makita-broca-paleta-25mm-x-150mm-d-07783.html
11730144,Makita Broca Paleta 3/4  X 150mm D-23999,2650,http://ferreteriasur.cl/makita-broca-paleta-3-4-x-150mm-d-23999.html
11730134,Makita Unidad Hoja Sierra Sable Mad. B-03030,6630,http://ferreteriasur.cl/makita-unidad-hoja-sierra-sable-mad-b-03030.html
11730126,Makita - Mt Esmeril Angular 4 1/2 M0901g,34900,http://ferreteriasur.cl/makita-mt-esmeril-angular-4-1-2-m0901g.html
11730112,Makita Broca Sds-plus 12x260mm Ut:200 D-00240,3300,http://ferreteriasur.cl/makita-broca-sds-plus-12x260mm-ut-200-d-00240.html
11730110,Makita Broca Sds-plus 10x260 Mm D-00197,2900,http://ferreteriasur.cl/makita-broca-sds-plus-10x260-mm-d-00197.html
11730109,Makita Broca Sds Plus 10x160mm Ut:100mm D-00175,2700,http://ferreteriasur.cl/makita-broca-sds-plus-10x160mm-ut-100mm-d-00175.html
11730108,Makita  Broca Sds-plus 8x210 Mm D-00147,2700,http://ferreteriasur.cl/makita-broca-sds-plus-8x210-mm-d-00147.html
11730107,Makita Broca Sds Plus 8 X160 Mm Ut:100 D-00131,2100,http://ferreteriasur.cl/makita-broca-sds-plus-8-x160-mm-ut-100-d-00131.html
11730106,Makita Broca Sds 6x160mm Ut:100mm D-00066,1800,http://ferreteriasur.cl/makita-broca-sds-6x160mm-ut-100mm-d-00066.html
11730093,Makita Disco 7 1/4 40 Dientes Eje 5/8  D-20688,7990,http://ferreteriasur.cl/makita-disco-7-1-4-40-dientes-eje-5-8-d-20688.html
11730088,Makita Disco Sierra 7 1/4 X 24 Dte Eje 5/8 D-03436,6660,http://ferreteriasur.cl/makita-disco-sierra-7-1-4-x-24-dte-eje-5-8-d-03436.html
11730083,Makita Taladro Percutor 16m/m Hp1630k,98630,http://ferreteriasur.cl/makita-taladro-percutor-16m-m-hp1630k.html
06020002,Hoja Sierra Sandflex # 3906-300-24-100,830,http://ferreteriasur.cl/hoja-sierra-sandflex-3906-300-24-100.html
16220284,Einhell Kit Talad Inal.18v 2 Bat 1.5ah 4513834,119900,http://ferreteriasur.cl/einhell-kit-talad-inal-18v-2-bat-1-5ah-4513834.html
16220271,Einhell Kit Taladro+esmeril Inal.te-tk 18 4257211,149900,http://ferreteriasur.cl/einhell-kit-taladro-esmeril-inal-te-tk-18-4257211.html
16220242,Einhell Pistola Calor Te-ha 2000e 4520195,44900,http://ferreteriasur.cl/einhell-pistola-calor-te-ha-2000e-4520195.html
08360013,Rastrillo P/hojas C/mango 22 D. Em-22 Truper 14322,4290,http://ferreteriasur.cl/rastrillo-p-hojas-c-mango-22-d-em-22-truper-14322.html
08820004,Serrucho Podar # 384-5t Bahco,17310,http://ferreteriasur.cl/serrucho-podar-384-5t-bahco.html
06500017,Platacho Hela Prof. Mad/rauli Pr4014 140x400x20mm,11000,http://ferreteriasur.cl/platacho-hela-prof-mad-rauli-pr4014-140x400x20mm.html
06500012,Llana Hela Ld280-8 Dentado 8mm Acero 280 X 130,8780,http://ferreteriasur.cl/llana-hela-ld280-8-dentado-8mm-acero-280-x-130.html
06500007,Llana Hela Rectangular L305 Acero 305 X 150,8990,http://ferreteriasur.cl/llana-hela-rectangular-l305-acero-305-x-150.html
06500006,Llana Hela Rectangular L280 Acero 280 X 130,8460,http://ferreteriasur.cl/llana-hela-rectangular-l280-acero-280-x-130.html
11730066,MT FRESADORA REBAJ. M3700 1/4   (MAKITA),63900,http://ferreteriasur.cl/mt-fresadora-rebaj-m3700-1-4-makita.html
