product_model,product_name,product_price
Código de referencia: HR4510C,Rotomartillo SDS-MAX 45 mm 1350 W Makita HR4510C,1056850
Código de referencia: HR2300,Rotomartillo SDS-PLUS 23 mm Makita HR2300,127200
Código de referencia: HR2810T,Rotomartillo SDS-PLUS 28 mm 800 W Makita HR2810T,284301
Código de referencia: HR2810,Rotomartillo SDS-PLUS 28 mm 800 W Makita HR2810,236040
Código de referencia: HR1830,Rotomartillo SDS-PLUS 18 mm Makita HR1830,108990
Código de referencia: HR2230,Rotomartillo SDS-PLUS 22 mm 710 W Makita HR2230,121400
Código de referencia: HR2611FT,Rotomartillo SDS-PLUS 26 mm 800 W Makita HR2611FT,223990
Código de referencia: HR2600,Rotomartillo SDS-PLUS 26 mm 800 W Makita HR2600,119088
Código de referencia: HR2460,Rotomartillo SDS-PLUS 24 mm 780 W Makita HR2460,129249
Código de referencia: HR2470T,Rotomartillo SDS-PLUS 24 mm 780 W Makita HR2470T,249990
Código de referencia: HR4013C,Rotomartillo SDS-MAX 40 mm 1100 W Makita HR4013C,557290
Código de referencia: HR3210C,Rotomartillo SDS-PLUS 32 mm 850 W Makita HR3210C,465240
