product_brand,product_model,product_price,product_name,product_stock,product_link
Makita,GV7000,238200,"Lijadora de Disco 7"" (180 mm Makita GV7000",4,https://www.toolmania.cl/pulidoras/makita-lijadora-de-disco-7-180-mm-cod-gv7000-89.html
Makita,PW5001C,474840,"Pulidora de Piedra 4""-5"" (100 - 125 mm) 900 W Makita PW5001C",0,https://www.toolmania.cl/pulidoras/makita-pulidora-de-piedra-4-5-100-125-mm-900-w-cod-pw5001c-148.html
Makita,SA5040C,166750,"Lijadora Angular 5"" (125 mm) 1400 W Makita SA5040C",0,https://www.toolmania.cl/pulidoras/makita-lijadora-angular-5-125-mm-1400-w-cod-sa5040c-285.html
Makita,PC5001C,770050,"Cepilladora Angular Concreto 5"" (125mm) 1400 W Makita PC5001C",5,https://www.toolmania.cl/pulidoras/makita-cepilladora-angular-concreto-5-125mm-1400-w-cod-pc5001c-145.html
Makita,PK5011C,434800,"Lijadora Angular 5"" (125 mm) 1600 W Makita PK5011C",5,https://www.toolmania.cl/pulidoras/makita-lijadora-angular-5-125-mm-1600-w-cod-pk5011c-147.html
DeWalt,DWP849X-B2,167990,"Pulidora 7"" y 9"" DeWalt DWP849X-B2",2,https://www.toolmania.cl/pulidoras/dewalt-pulidora-7-y-9-cod-dwp849x-b2-639.html
Makita,PC5000C,584990,"Cepilladora Angular Concreto 5"" (125mm) 1400 W Makita PC5000C",5,https://www.toolmania.cl/pulidoras/makita-cepilladora-angular-concreto-5-125mm-1400-w-cod-pc5000c-144.html
Makita,SA7000C,153099,"Lijadora Angular 7"" (180 mm) 1600 W Makita SA7000C",34,https://www.toolmania.cl/pulidoras/makita-lijadora-angular-7-180-mm-1600-w-cod-sa7000c-286.html
Bosch Herramientas,GBR 15 CA,676490,"Lijadora de Concreto 125 mm 1500W 9300 rpm 2,6 kg Bosch GBR 15 CA",0,https://www.toolmania.cl/pulidoras/bosch-lijadora-de-concreto-125-mm-1500w-9300-rpm-26-kg-cod-gbr-15-ca-1252.html
Bosch Herramientas,GWS 22 U,231990,"Lijadora Angular 7"" 2200W 5000 rpm 4,3 kg Bosch GWS 22 U",0,https://www.toolmania.cl/pulidoras/bosch-lijadora-angular-7-2200w-5000-rpm-43-kg-cod-gws-22-u-1241.html
Stanley Herramientas,STGP1318K-B2C,104990,"Pulidora Angular 7"" 1300 Watts Stanley STGP1318K",1,https://www.toolmania.cl/pulidoras/stanley-pulidora-angular-7-1300-watts-cod-stgp1318k-922.html
Bosch Herramientas,GPO 14 CE,164490,"Pulidora 180 mm 1400W 3000 rpm 2,5 kg Bosch GPO 14 CE",0,https://www.toolmania.cl/pulidoras/bosch-pulidora-180-mm-1400w-3000-rpm-25-kg-cod-gpo-14-ce-1235.html
Technoflex,RRC35,1164490,"Rozadora regatadora ""Castor"" 2300W 9,1 Kg Technoflex RRC35",5,https://www.toolmania.cl/pulidoras/technoflex-rozadora-regatadora-castor-2300w-91-kg-cod-rrc35-1377.html
Makita,GV5010,153740,"Lijadora de Disco 5"" (125 mm) 440 W - 4500 rpm Makita GV5010",15,https://www.toolmania.cl/lijadoras/makita-lijadora-de-disco-5-125-mm-440-w-4500-rpm-cod-gv5010-1520.html
Makita,9237CB,316300,"Lijadora-Pulidora Angular 7"" (180 mm) 1200 W 0 - 3200 rpm 3,4 kg Makita 9237CB",3,https://www.toolmania.cl/pulidoras/makita-lijadora-pulidora-angular-7-180-mm-1200-w-0-3200-rpm-34-kg-cod-9237cb-1522.html
Skil Herramientas,9071,90990,"Pulidora 7"" 1300W Skil F0129071JC",0,https://www.toolmania.cl/pulidoras/skil-pulidora-7-1300w-cod-9071-1455.html
Flex,"LD 15-10 125 R, Kit PKD-Jet",450990,"Pulidora para saneamiento a ras de bordes, libre de polvo de 125 mm. Flex LD 15-10 125 R, Kit PKD-Jet",20,https://www.toolmania.cl/pulidoras/pulidora-para-saneamiento-a-ras-de-bordes-libre-de-polvo-de-125-mm-flex-ld-15-10-125-r-kit-pkd-jet-5156.html
Flex,XC 3401 VRG Set,685990,Pulidora excéntrica Roto con accionamiento forzado en set. Flex XC 3401 VRG Set,20,https://www.toolmania.cl/pulidoras/pulidora-excentrica-roto-con-accionamiento-forzado-en-set-flex-xc-3401-vrg-set-5157.html
Skil Herramientas,F0129051JA,54990,"Pulidora 5"" 470 W Skil F0129051JA",0,https://www.toolmania.cl/pulidoras/skil-pulidora-5-470-w-cod-9051-1454.html
Total Tools,TAC7111801,5489,Respaldo Pulidora 180mm Total Tools TAC7111801,30,https://www.toolmania.cl/bonetes/respaldo-pulidora-180mm-total-tools-tac7111801-9007.html
