product_brand,product_name,product_price,product_link
Makita,Sierra de banda 120 x 120 mm Makita 2107FK,497000,https://www.toolmania.cl/sierras-de-cinta/sierra-de-banda-120-x-120-mm-makita-2107fk-9-2.html#
Bosch Herramientas,"Rotomartillo con SDS-Max 1500W 12,5 J 2720 gpm 8,2 kg Bosch GBH 8-45 D",729490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-con-sds-max-1500w-125-j-2720-gpm-82-kg-cod-gbh-8-45-d-1084.html
Bosch Herramientas,"Rotomartillo 800W 2,7 J 4000 gpm 2,7 kg Bosch GBH 2-26 DRE",180490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-800w-27-j-4000-gpm-27-kg-cod-gbh-2-26-dre-1157.html
Bosch Herramientas,"Rotomartillo 850W 3,2 J 4000 gpm 2,9 kg Bosch GBH 2-28 D",194490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-850w-32-j-4000-gpm-29-kg-cod-gbh-2-28-d-1158.html
Bosch Herramientas,"Rotomartillo 800W 3,5 J 4000 gpm 3,5 kg Bosch GBH 3-28 DRE",365490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-800w-35-j-4000-gpm-35-kg-cod-gbh-3-28-dre-1159.html
Bosch Herramientas,"Rotomartillo 900W 4,2 J 3600 gpm 4,7 kg Bosch GBH 4-32 DFR",436990,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-900w-42-j-3600-gpm-47-kg-cod-gbh-4-32-dfr-1160.html
Bosch Herramientas,"Rotomartillo 1100W 8,5 J 2900 gpm 6,8 kg Bosch GBH 5-40 D",515490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-1100w-85-j-2900-gpm-68-kg-cod-gbh-5-40-d-1161.html
Bosch Herramientas,"Rotomartillo con SDS-Max 1150W 8,8 J 3050 gpm 6,8 kg Bosch GBH 5-40 DCE",628490,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-con-sds-max-1150w-88-j-3050-gpm-68-kg-cod-gbh-5-40-dce-1162.html
Bosch Herramientas,"Rotomartillo con SDS-Max 1500W 12,5 J 2760 gpm 8,9 kg Bosch GBH 8-45 DV",814990,https://www.toolmania.cl/rotomartillos/bosch-martillo-perforador-con-sds-max-1500w-125-j-2760-gpm-89-kg-cod-gbh-8-45-dv-1164.html
Bosch Herramientas,"Martillo Demoledor 1500W 25 J 1890 gpm 10,1 kg Bosch GSH 11 E",748990,https://www.toolmania.cl/demoledores/bosch-martillo-demoledor-1500w-168-j-1890-gpm-101-kg-cod-gsh-11-e-1166.html
Bosch Herramientas,"Martillo Rompedor 1150W 13 J 2900 rpm 5,8 kg Bosch GSH 5 CE",528490,https://www.toolmania.cl/demoledores/bosch-martillo-rompedor-1150w-13-j-2900-rpm-58-kg-cod-gsh-5-ce-1167.html
Bosch Herramientas,"Martillo Demoledor1100W 7,5 J 2850 rpm 5,6 kg Bosch GSH 5",386990,https://www.toolmania.cl/demoledores/martillo-demoledor1100w-75-j-2850-rpm-56-kg-bosch-gsh-5-1168.html
Bosch Herramientas,"Martillo Demoledor 1700W 23 J 17000 gpm 11,4 kg Bosch GSH 11 VC",956990,https://www.toolmania.cl/demoledores/bosch-martillo-demoledor-1700w-23-j-17000-gpm-114-kg-cod-gsh-11-vc-1169.html
Bosch Herramientas,"Martillo Demoledor 2000W 62 J 1000 gpm 29,5 kg Bosch GSH 27 VC",1460990,https://www.toolmania.cl/demoledores/bosch-martillo-demoledor-2000w-62-j-1000-gpm-295-kg-cod-gsh-27-vc-1171.html
Dremel Herramientas,"8100 7,2V 0,41 kg Dremel 8100",58990,https://www.toolmania.cl/dremel/dremel-8100-72v-041-kg-cod-8100-1263.html
Bosch Herramientas,Martillo Demoledor SDS-MAX Bosch GBH 12-52 D,907490,https://www.toolmania.cl/demoledores/bosch-martillo-demoledor-sds-max-cod-gbh-12-52-d-2451.html
Bosch Herramientas,Martillo Demoledor 1750 W Bosch GSH 16-28,1045490,https://www.toolmania.cl/demoledores/martillo-demoledor-1750-w-bosch-gsh-16-28-5485.html
Bosch Herramientas,Kit Cyberday Atornillador 400W GSR 7-14 E + Set 10 puntas 2607019454 Bosch 0601.447.0E0-000,81980,https://www.toolmania.cl/atornilladores/kit-cyberday-atornillador-400w-gsr-7-14-e-set-10-puntas-2607019454-bosch-06014470e0-000-6250.html
Bosch Herramientas,Kit Cyberday Atornillador 701W GSR 6-45 TE + Set Puntas 25 pzs 2607019676 Bosch 0601.445.1E0-000,121480,https://www.toolmania.cl/atornilladores/kit-cyberday-atornillador-701w-gsr-6-45-te-set-puntas-25-pzs-2607019676-bosch-06014451e0-000-6251.html
