product_type,product_brand,product_name,product_price,product_link
Rotomartillos,Makita,Rotomartillo SDS-PLUS 22 mm 710 W Makita HR2230,121400,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-22-mm-710-w-cod-hr2230-106.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 24 mm 780 W Makita HR2460,129249,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-24-mm-780-w-cod-hr2460-107.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 26 mm 800 W Makita HR2600,119088,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-26-mm-800-w-cod-hr2600-109.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 28 mm 800 W Makita HR2810,236040,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-26-mm-800-w-cod-hr2810-111.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 28 mm 800 W Makita HR2810T,284301,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-28-mm-800-w-cod-hr2810t-112.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 32 mm 850 W Makita HR3210C,465240,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-32-mm-850-w-cod-hr3210c-113.html
Rotomartillos,Makita,Rotomartillo SDS-MAX 40 mm 1100 W Makita HR4013C,557290,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-max-40-mm-1100-w-cod-hr4013c-117.html
Rotomartillos,Makita,Rotomartillo SDS-MAX 45 mm 1350 W Makita HR4510C,1056850,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-max-45-mm-1350-w-cod-hr4510c-118.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 18 mm Makita HR1830,108990,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-18-mm-cod-hr1830-273.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 23 mm Makita HR2300,127200,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-23-mm-cod-hr2300-274.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 24 mm 780 W Makita HR2470T,249990,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-24-mm-780-w-cod-hr2470t-275.html
Rotomartillos,Makita,Rotomartillo SDS-PLUS 26 mm 800 W Makita HR2611FT,223990,https://www.toolmania.cl/rotomartillos/makita-martillo-rotativo-sds-plus-26-mm-800-w-cod-hr2611ft-278.html
